,length,condition,lat,lon,model_type,id,road,name
0,4,,23.7060278,90.443333,source,10000,N1,Dhaka
1,1800,NaN,23.70238323,90.45109704,link,10001,N1,xyz
2,11.3,A,23.69873866,90.45886108,bridge,10002,N1,xyz
3,3125,NaN,23.69670125,90.473318,link,10003,N1,xyz
4,6.6,A,23.69466384,90.48777492,bridge,10004,N1,xyz
5,4051,NaN,23.69986186,90.50549453,link,10005,N1,xyz
6,394.23,A,23.70505989,90.52321415,bridge,10006,N1,xyz
7,1567,NaN,23.70072999,90.52915656,link,10007,N1,xyz
8,8,B,23.69640009,90.53509898,bridge,10008,N1,xyz
9,337,NaN,23.69539535,90.53633653,link,10009,N1,xyz
10,6.3,A,23.69439061,90.53757408,bridge,10010,N1,xyz
11,17,NaN,23.6943465,90.53764072,link,10011,N1,xyz
12,6.3,A,23.69430239,90.53770737,bridge,10012,N1,xyz
13,399,NaN,23.69333127,90.53931288,link,10013,N1,xyz
14,8.3,A,23.69236015,90.54091839,bridge,10014,N1,xyz
15,512,NaN,23.69163604,90.54319044,link,10015,N1,xyz
16,10.6,B,23.69091193,90.5454625,bridge,10016,N1,xyz
17,431,NaN,23.68966213,90.54701051,link,10017,N1,xyz
18,9.3,A,23.68841233,90.54855853,bridge,10018,N1,xyz
19,14,NaN,23.68836603,90.54860417,link,10019,N1,xyz
20,6.1,A,23.68831973,90.54864981,bridge,10020,N1,xyz
21,407,NaN,23.68695138,90.54992889,link,10021,N1,xyz
22,27.5,A,23.68558303,90.55120798,bridge,10022,N1,xyz
23,28,NaN,23.6854725,90.55128358,link,10023,N1,xyz
24,27.5,A,23.68536198,90.55135918,bridge,10024,N1,xyz
25,886,NaN,23.68158274,90.55358931,link,10025,N1,xyz
26,11.9,A,23.6778035,90.55581943,bridge,10026,N1,xyz
27,1891,NaN,23.67055628,90.55983821,link,10027,N1,xyz
28,5.55,B,23.66330907,90.56385699,bridge,10028,N1,xyz
29,1669,NaN,23.65886739,90.57029361,link,10029,N1,xyz
30,159.52,C,23.65442571,90.57673023,bridge,10030,N1,xyz
31,88,NaN,23.65419898,90.57707032,link,10031,N1,xyz
32,20.45,A,23.65397226,90.57741042,bridge,10032,N1,xyz
33,0,NaN,23.65397226,90.57741042,link,10033,N1,xyz
34,20.5,A,23.65397226,90.57741042,bridge,10034,N1,xyz
35,500,NaN,23.65277141,90.57945241,link,10035,N1,xyz
36,20,B,23.65157057,90.58149439,bridge,10036,N1,xyz
37,371,NaN,23.65066248,90.5830217,link,10037,N1,xyz
38,25.5,B,23.6497544,90.58454901,bridge,10038,N1,xyz
39,0,NaN,23.6497544,90.58454901,link,10039,N1,xyz
40,25.5,A,23.6497544,90.58454901,bridge,10040,N1,xyz
41,649,NaN,23.6478615,90.58688049,link,10041,N1,xyz
42,40.5,C,23.64596859,90.58921198,bridge,10042,N1,xyz
43,0,NaN,23.64596859,90.58921198,link,10043,N1,xyz
44,40.33,B,23.64596859,90.58921198,bridge,10044,N1,xyz
45,1018,NaN,23.64196148,90.59143969,link,10045,N1,xyz
46,6,A,23.63795437,90.5936674,bridge,10046,N1,xyz
47,637,NaN,23.6358798,90.59553074,link,10047,N1,xyz
48,10.4,B,23.63380522,90.59739409,bridge,10048,N1,xyz
49,787,NaN,23.63113604,90.59984783,link,10049,N1,xyz
50,89.75,A,23.62846685,90.60230157,bridge,10050,N1,xyz
51,0,NaN,23.62846685,90.60230157,link,10051,N1,xyz
52,86.92,A,23.62846685,90.60230157,bridge,10052,N1,xyz
53,1144,NaN,23.62417504,90.60532723,link,10053,N1,xyz
54,5.5,B,23.61988322,90.60835289,bridge,10054,N1,xyz
55,268,NaN,23.61876201,90.60895175,link,10055,N1,xyz
56,224.8,A,23.6176408,90.60955061,bridge,10056,N1,xyz
57,0,NaN,23.6176408,90.60955061,link,10057,N1,xyz
58,224.82,B,23.6176408,90.60955061,bridge,10058,N1,xyz
59,485,NaN,23.61561409,90.61022678,link,10059,N1,xyz
60,119.48,A,23.61358738,90.61090296,bridge,10060,N1,xyz
61,0,NaN,23.61358738,90.61090296,link,10061,N1,xyz
62,119.32,A,23.61358738,90.61090296,bridge,10062,N1,xyz
63,1312,NaN,23.60817349,90.61321733,link,10063,N1,xyz
64,924.85,A,23.60275959,90.6155317,bridge,10064,N1,xyz
65,1722,NaN,23.59787074,90.62175082,link,10065,N1,xyz
66,5.6,A,23.59298188,90.62796994,bridge,10066,N1,xyz
67,337,NaN,23.59189537,90.6291034,link,10067,N1,xyz
68,5.5,A,23.59080885,90.63023686,bridge,10068,N1,xyz
69,668,NaN,23.58856349,90.63237314,link,10069,N1,xyz
70,5.6,A,23.58631812,90.63450942,bridge,10070,N1,xyz
71,1195,NaN,23.58214907,90.63821436,link,10071,N1,xyz
72,173.25,A,23.57798002,90.64191931,bridge,10072,N1,xyz
73,0,NaN,23.57798002,90.64191931,link,10073,N1,xyz
74,172.1,A,23.57798002,90.64191931,bridge,10074,N1,xyz
75,823,NaN,23.57480533,90.64366762,link,10075,N1,xyz
76,29.77,A,23.57163063,90.64541592,bridge,10076,N1,xyz
77,0,NaN,23.57163063,90.64541592,link,10077,N1,xyz
78,29.85,A,23.57163063,90.64541592,bridge,10078,N1,xyz
79,704,NaN,23.56881701,90.64701982,link,10079,N1,xyz
80,34.7,A,23.5660034,90.64862372,bridge,10080,N1,xyz
81,1066,NaN,23.56259721,90.65218565,link,10081,N1,xyz
82,27.4,A,23.55919103,90.65574757,bridge,10082,N1,xyz
83,564,NaN,23.55744966,90.6577445,link,10083,N1,xyz
84,29.83,A,23.55570829,90.65974142,bridge,10084,N1,xyz
85,0,NaN,23.55570829,90.65974142,link,10085,N1,xyz
86,29.85,A,23.55570829,90.65974142,bridge,10086,N1,xyz
87,649,NaN,23.55372524,90.66204765,link,10087,N1,xyz
88,29.9,A,23.55174219,90.66435388,bridge,10088,N1,xyz
89,0,NaN,23.55174219,90.66435388,link,10089,N1,xyz
90,29.87,A,23.55174219,90.66435388,bridge,10090,N1,xyz
91,656,NaN,23.54973997,90.66670464,link,10091,N1,xyz
92,9.1,A,23.54773774,90.66905541,bridge,10092,N1,xyz
93,19,NaN,23.54768119,90.66912374,link,10093,N1,xyz
94,5.2,A,23.54762464,90.66919207,bridge,10094,N1,xyz
95,795,NaN,23.54515504,90.67201064,link,10095,N1,xyz
96,72.49,A,23.54268543,90.67482921,bridge,10096,N1,xyz
97,0,NaN,23.54268543,90.67482921,link,10097,N1,xyz
98,59.83,A,23.54268543,90.67482921,bridge,10098,N1,xyz
99,520,NaN,23.54103822,90.6766435,link,10099,N1,xyz
100,5.1,C,23.53939102,90.67845779,bridge,10100,N1,xyz
101,1070,NaN,23.5360831,90.68216395,link,10101,N1,xyz
102,9.5,A,23.53277519,90.68587011,bridge,10102,N1,xyz
103,227,NaN,23.53208743,90.68665952,link,10103,N1,xyz
104,25.45,A,23.53139966,90.68744893,bridge,10104,N1,xyz
105,0,NaN,23.53139966,90.68744893,link,10105,N1,xyz
106,25.45,A,23.53139966,90.68744893,bridge,10106,N1,xyz
107,299,NaN,23.53077581,90.68862205,link,10107,N1,xyz
108,8.4,A,23.53015196,90.68979518,bridge,10108,N1,xyz
109,1303,NaN,23.53026822,90.69611773,link,10109,N1,xyz
110,1408.8,A,23.53038447,90.70244027,bridge,10110,N1,xyz
111,2294,NaN,23.53140154,90.7133605,link,10111,N1,xyz
112,23.1,C,23.5324186,90.72428072,bridge,10112,N1,xyz
113,556,NaN,23.53208869,90.72672937,link,10113,N1,xyz
114,6,B,23.53175878,90.72917801,bridge,10114,N1,xyz
115,3076,NaN,23.53078192,90.74371563,link,10115,N1,xyz
116,16.5,C,23.52980506,90.75825325,bridge,10116,N1,xyz
117,2228,NaN,23.53028529,90.76916649,link,10117,N1,xyz
118,3.9,C,23.53076553,90.78007973,bridge,10118,N1,xyz
119,1707,NaN,23.53081693,90.78594362,link,10119,N1,xyz
120,6.5,C,23.53086834,90.79180752,bridge,10120,N1,xyz
121,1513,NaN,23.53134591,90.80141152,link,10121,N1,xyz
122,15.9,A,23.53182348,90.81101551,bridge,10122,N1,xyz
123,2174,NaN,23.5323989,90.82099649,link,10123,N1,xyz
124,12.2,A,23.53297433,90.83097748,bridge,10124,N1,xyz
125,1755,NaN,23.5279455,90.83759804,link,10125,N1,xyz
126,4.5,C,23.52291667,90.84421861,bridge,10126,N1,xyz
127,3693,NaN,23.51650221,90.85996951,link,10127,N1,xyz
128,28.9,C,23.51008776,90.8757204,bridge,10128,N1,xyz
129,2832,NaN,23.5080451,90.88894747,link,10129,N1,xyz
130,5.9,B,23.50600243,90.90217454,bridge,10130,N1,xyz
131,1992,NaN,23.50580779,90.91182028,link,10131,N1,xyz
132,3,B,23.50561314,90.92146602,bridge,10132,N1,xyz
133,2268,NaN,23.50401046,90.93235396,link,10133,N1,xyz
134,6,B,23.50240778,90.94324189,bridge,10134,N1,xyz
135,440,NaN,23.50188149,90.94531315,link,10135,N1,xyz
136,3,A,23.50135519,90.94738441,bridge,10136,N1,xyz
137,2640,NaN,23.49862575,90.95948083,link,10137,N1,xyz
138,4.6,B,23.49589631,90.97157725,bridge,10138,N1,xyz
139,1862,NaN,23.49458456,90.98014865,link,10139,N1,xyz
140,4.5,A,23.49327281,90.98872004,bridge,10140,N1,xyz
141,3116,NaN,23.4900767,91.00314337,link,10141,N1,xyz
142,23.1,C,23.48688059,91.01756669,bridge,10142,N1,xyz
143,3123,NaN,23.48433396,91.03195079,link,10143,N1,xyz
144,4.6,B,23.48178732,91.04633489,bridge,10144,N1,xyz
145,1033,NaN,23.48176858,91.05134493,link,10145,N1,xyz
146,4.6,B,23.48174983,91.05635497,bridge,10146,N1,xyz
147,1169,NaN,23.48118146,91.06188237,link,10147,N1,xyz
148,1.5,A,23.48061309,91.06740977,bridge,10148,N1,xyz
149,1901,NaN,23.47914269,91.0760752,link,10149,N1,xyz
150,1,C,23.47767229,91.08474064,bridge,10150,N1,xyz
151,2567,NaN,23.4778941,91.09588692,link,10151,N1,xyz
152,3,B,23.4781159,91.10703321,bridge,10152,N1,xyz
153,1488,NaN,23.47876215,91.11546264,link,10153,N1,xyz
154,1.4,A,23.47940839,91.12389208,bridge,10154,N1,xyz
155,552,NaN,23.47947666,91.12646961,link,10155,N1,xyz
156,2.9,A,23.47954492,91.12904714,bridge,10156,N1,xyz
157,4724,NaN,23.46158944,91.13920698,link,10157,N1,xyz
158,23.4,A,23.44363396,91.14936682,bridge,10158,N1,xyz
159,3379,NaN,23.43244137,91.15863058,link,10159,N1,xyz
160,35.97,C,23.42124877,91.16789434,bridge,10160,N1,xyz
161,2508,NaN,23.4165906,91.18089866,link,10161,N1,xyz
162,27.35,C,23.41193242,91.19390298,bridge,10162,N1,xyz
163,3657,NaN,23.40479212,91.20866256,link,10163,N1,xyz
164,27.9,A,23.39765182,91.22342213,bridge,10164,N1,xyz
165,3681,NaN,23.3845083,91.23421984,link,10165,N1,xyz
166,30.48,A,23.37136478,91.24501754,bridge,10166,N1,xyz
167,2518,NaN,23.36176423,91.25115431,link,10167,N1,xyz
168,22.8,C,23.35216368,91.25729107,bridge,10168,N1,xyz
169,1297,NaN,23.34741757,91.26088836,link,10169,N1,xyz
170,14.3,A,23.34267147,91.26448564,bridge,10170,N1,xyz
171,1766,NaN,23.33640885,91.26968246,link,10171,N1,xyz
172,24,A,23.33014623,91.27487928,bridge,10172,N1,xyz
173,1606,NaN,23.32410796,91.27898301,link,10173,N1,xyz
174,9.2,A,23.31806969,91.28308673,bridge,10174,N1,xyz
175,1164,NaN,23.31321548,91.28483272,link,10175,N1,xyz
176,19.2,B,23.30836127,91.2865787,bridge,10176,N1,xyz
177,608,NaN,23.30589596,91.28777787,link,10177,N1,xyz
178,2.6,B,23.30343065,91.28897704,bridge,10178,N1,xyz
179,654,NaN,23.30069909,91.28999559,link,10179,N1,xyz
180,3.2,A,23.29796753,91.29101414,bridge,10180,N1,xyz
