,length,condition,lat,lon,intersection,model_type,id,road,name
0,4,,23.7060278,90.443333,,sourcesink,10000,N1,
1,1800,NaN,23.70238323,90.45109704,0,link,10001,N1,
2,11.3,A,23.69873866,90.45886108,,bridge,10002,N1,
3,3125,NaN,23.69670125,90.473318,0,link,10003,N1,
4,6.6,A,23.69466384,90.48777492,,bridge,10004,N1,
5,3838,NaN,23.70037357,90.50465101,0,link,10005,N1,
6,4,,23.7060833,90.5215271,N2,intersection,10006,N1,
7,213,NaN,23.7055716,90.52237062,0,link,10007,N1,
8,394.23,A,23.70505989,90.52321415,,bridge,10008,N1,
9,1567,NaN,23.70072999,90.52915656,0,link,10009,N1,
10,8,B,23.69640009,90.53509898,,bridge,10010,N1,
11,337,NaN,23.69539535,90.53633653,0,link,10011,N1,
12,6.3,A,23.69439061,90.53757408,,bridge,10012,N1,
13,17,NaN,23.6943465,90.53764072,0,link,10013,N1,
14,6.3,A,23.69430239,90.53770737,,bridge,10014,N1,
15,399,NaN,23.69333127,90.53931288,0,link,10015,N1,
16,8.3,A,23.69236015,90.54091839,,bridge,10016,N1,
17,512,NaN,23.69163604,90.54319044,0,link,10017,N1,
18,10.6,B,23.69091193,90.5454625,,bridge,10018,N1,
19,128,NaN,23.69066412,90.54602275,0,link,10019,N1,
20,4,,23.6904163,90.546583,N105,intersection,10020,N1,
21,303,NaN,23.68941431,90.54757076,0,link,10021,N1,
22,9.3,A,23.68841233,90.54855853,,bridge,10022,N1,
23,14,NaN,23.68836603,90.54860417,0,link,10023,N1,
24,6.1,A,23.68831973,90.54864981,,bridge,10024,N1,
25,407,NaN,23.68695138,90.54992889,0,link,10025,N1,
26,27.5,A,23.68558303,90.55120798,,bridge,10026,N1,
27,28,NaN,23.6854725,90.55128358,0,link,10027,N1,
28,27.5,A,23.68536198,90.55135918,,bridge,10028,N1,
29,886,NaN,23.68158274,90.55358931,0,link,10029,N1,
30,11.9,A,23.6778035,90.55581943,,bridge,10030,N1,
31,1891,NaN,23.67055628,90.55983821,0,link,10031,N1,
32,5.55,B,23.66330907,90.56385699,,bridge,10032,N1,
33,1669,NaN,23.65886739,90.57029361,0,link,10033,N1,
34,159.52,C,23.65442571,90.57673023,,bridge,10034,N1,
35,88,NaN,23.65419898,90.57707032,0,link,10035,N1,
36,20.45,A,23.65397226,90.57741042,,bridge,10036,N1,
37,0,NaN,23.65397226,90.57741042,0,link,10037,N1,
38,20.5,A,23.65397226,90.57741042,,bridge,10038,N1,
39,500,NaN,23.65277141,90.57945241,0,link,10039,N1,
40,20,B,23.65157057,90.58149439,,bridge,10040,N1,
41,371,NaN,23.65066248,90.5830217,0,link,10041,N1,
42,25.5,A,23.6497544,90.58454901,,bridge,10042,N1,
43,0,NaN,23.6497544,90.58454901,0,link,10043,N1,
44,25.5,B,23.6497544,90.58454901,,bridge,10044,N1,
45,649,NaN,23.6478615,90.58688049,0,link,10045,N1,
46,40.5,C,23.64596859,90.58921198,,bridge,10046,N1,
47,0,NaN,23.64596859,90.58921198,0,link,10047,N1,
48,40.33,B,23.64596859,90.58921198,,bridge,10048,N1,
49,1018,NaN,23.64196148,90.59143969,0,link,10049,N1,
50,6,A,23.63795437,90.5936674,,bridge,10050,N1,
51,637,NaN,23.6358798,90.59553074,0,link,10051,N1,
52,10.4,B,23.63380522,90.59739409,,bridge,10052,N1,
53,787,NaN,23.63113604,90.59984783,0,link,10053,N1,
54,89.75,A,23.62846685,90.60230157,,bridge,10054,N1,
55,0,NaN,23.62846685,90.60230157,0,link,10055,N1,
56,86.92,A,23.62846685,90.60230157,,bridge,10056,N1,
57,1144,NaN,23.62417504,90.60532723,0,link,10057,N1,
58,5.5,B,23.61988322,90.60835289,,bridge,10058,N1,
59,268,NaN,23.61876201,90.60895175,0,link,10059,N1,
60,224.82,B,23.6176408,90.60955061,,bridge,10060,N1,
61,0,NaN,23.6176408,90.60955061,0,link,10061,N1,
62,224.8,A,23.6176408,90.60955061,,bridge,10062,N1,
