,id,source,target,length_m,X,Y,name,charging_stations,model_type,range,capacity
0,10000,8864915,8868409,26579.41434960286,5.727886860521554,52.954111655446056,"('8864915', '8868409')",,link,150000,600
1,10001,8864915,8864435,19096.612628356914,5.84079452829113,53.095546705790454,"('8864915', '8864435')",,link,150000,600
2,10002,8861447,8867600,31559.39263526992,5.236600901101865,53.2559758758656,"('8861447', '8867600')",,link,150000,600
3,10003,8861447,8864260,9486.022259566209,5.182085610256995,53.338239199263555,"('8861447', '8864260')",,link,150000,600
4,10004,8861447,8865605,9312.218159038304,5.118942901046831,53.30810511363515,"('8861447', '8865605')",,link,150000,600
5,10005,8866661,8861611,21402.93536909143,5.5369278730604155,52.3119088898183,"('8866661', '8861611')",,link,150000,600
6,10006,8866661,8863596,47576.40419896035,5.69212688936884,52.4733116035609,"('8866661', '8863596')",,link,150000,600
7,10007,8867740,8863818,31794.97078552293,4.972805407413585,51.611639502234304,"('8867740', '8863818')",,link,150000,600
8,10008,8866564,8866306,3378.2517165791955,4.548598087993716,52.210291929384454,"('8866564', '8866306')",,link,150000,600
9,10009,8866564,8862292,46539.08556502948,4.47855629344372,52.069877902754996,"('8866564', '8862292')",,link,150000,600
10,10010,8860732,8864837,25641.274336459184,5.049513504668759,52.1874017909586,"('8860732', '8864837')",,link,150000,600
11,10011,8860732,8865846,6342.197653574884,5.09179386066102,52.072615836436654,"('8860732', '8865846')",,link,150000,600
12,10012,8860732,8866045,5814.765678183789,5.095300164088645,52.079711237681856,"('8860732', '8866045')",,link,150000,600
13,10013,8866297,8868065,37024.674142402364,6.888269570227571,53.3845044259933,"('8866297', '8868065')",,link,150000,600
14,10014,30984595,8860725,6279.201490860039,4.596294442118015,51.703364087903154,"('30984595', '8860725')",,link,150000,600
15,10015,8861568,8865644,2195.066624197709,4.779183795791155,52.95139464358204,"('8861568', '8865644')",,link,150000,600
16,10016,8867986,8863131,584.9264533641734,4.673586216198215,51.82149435383915,"('8867986', '8863131')",,link,150000,600
17,10017,8867986,22638029,24037.539243228617,4.78393482910083,51.8201126360464,"('8867986', '22638029')",,link,150000,600
18,10018,8860920,8865119,21738.422412640983,5.45281589713033,51.80316021000795,"('8860920', '8865119')",,link,150000,600
19,10019,8860920,8862570,3637.045729955795,5.53976921305347,51.80363090994625,"('8860920', '8862570')",,link,150000,600
20,10020,8860920,22638404,17405.0201831585,5.60626727496069,51.8043525637273,"('8860920', '22638404')",,link,150000,600
21,10021,8866747,8863796,1562.5440565588387,4.894547929894944,52.389459826698904,"('8866747', '8863796')",,link,150000,600
22,10022,8866747,8863272,6263.787724277327,4.865744874903985,52.40675266599365,"('8866747', '8863272')",,link,150000,600
23,10023,8866747,8865186,1071.695130157798,4.88771329916137,52.39188134890775,"('8866747', '8865186')",,link,150000,600
24,10024,8864005,8864526,28128.83107822585,5.353219966318685,52.4345774422467,"('8864005', '8864526')",,link,150000,600
25,10025,8864005,8864076,6879.51793322567,5.22470698731073,52.42280843408605,"('8864005', '8864076')",,link,150000,600
26,10026,8862776,8861231,37662.42636162494,4.93892303893109,51.9603390333437,"('8862776', '8861231')",,link,150000,600
27,10027,8862776,8865140,19083.316571074705,4.7026760543878705,51.904077389579605,"('8862776', '8865140')",,link,150000,600
28,10028,8862419,8861681,75895.64343792459,6.2653721173492,53.19608015887845,"('8862419', '8861681')",,link,150000,600
29,10029,8862419,8868065,40639.47648550117,6.770606533135796,53.273259561646356,"('8862419', '8868065')",,link,150000,600
30,10030,8865756,30986055,2481.139176292334,5.41235034838725,53.17849950966385,"('8865756', '30986055')",,link,150000,600
31,10031,8865756,8865462,37362.27864964973,5.587067205019711,53.1879061694217,"('8865756', '8865462')",,link,150000,600
32,10032,11309058,11309119,9235.019524774398,5.349925824580655,51.71414914474245,"('11309058', '11309119')",,link,150000,600
33,10033,11309058,8865990,18936.187403332948,5.450225574685225,51.6454172642877,"('11309058', '8865990')",,link,150000,600
34,10034,11309058,8866775,11560.215726589655,5.324145650200795,51.69553028037615,"('11309058', '8866775')",,link,150000,600
35,10035,8863206,8861986,5105.609888398716,4.387270642528085,51.89966876435074,"('8863206', '8861986')",,link,150000,600
36,10036,8863206,8861716,4985.745660838811,4.34226285535736,51.89693226794344,"('8863206', '8861716')",,link,150000,600
37,10037,8862048,8861752,7261.178649044565,4.691934334411265,52.44735881097285,"('8862048', '8861752')",,link,150000,600
38,10038,8862048,8863656,10124.479187427632,4.766976812975255,52.42769678553345,"('8862048', '8863656')",,link,150000,600
39,10039,8862048,8866306,36662.24959550639,4.639278570638085,52.326436927692455,"('8862048', '8866306')",,link,150000,600
40,10040,22638029,8864151,7912.84914572579,4.926702101460325,51.8220913919246,"('22638029', '8864151')",,link,150000,600
41,10041,8868065,8863614,1826.96746134736,6.936999497692866,53.32671034470725,"('8868065', '8863614')",,link,150000,600
42,10042,8863272,8863656,3147.743549842997,4.826482561752311,52.4199541296512,"('8863272', '8863656')",,link,150000,600
43,10043,8863272,8861372,31379.45313872912,4.80487355013038,52.519916464388245,"('8863272', '8861372')",,link,150000,600
44,10044,8860631,8866095,26901.63642071443,5.2256224456477,52.000002946590854,"('8860631', '8866095')",,link,150000,600
45,10045,8860631,8862340,1558.4441908427393,5.346180601146985,51.95838008678224,"('8860631', '8862340')",,link,150000,600
46,10046,8866671,8861752,2090.3837105055036,4.66234890700379,52.46848599031835,"('8866671', '8861752')",,link,150000,600
47,10047,8863755,8863469,633.7723030695171,3.81363581900077,51.33860886074935,"('8863755', '8863469')",,link,150000,600
48,10048,8863755,8863105,766.6858464489444,3.8124323446994097,51.3430022837332,"('8863755', '8863105')",,link,150000,600
49,10049,8863755,8867489,2824.9912757553275,3.817862972209605,51.32939139070045,"('8863755', '8867489')",,link,150000,600
50,10050,8863074,8862947,12696.726283290065,5.582245644503035,52.60661511389135,"('8863074', '8862947')",,link,150000,600
