Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2111;2021;11;48;2021-11-30T23:00:00+01:00;30 november 2021 23:00:00 uur;DEMHG;BEANR;2;M9;3510;3;0;0;3;7.2
2111;2021;11;48;2021-11-30T23:00:00+01:00;30 november 2021 23:00:00 uur;NLRTM;NLTLB;1;M3;1150;7;276700;44;9;12.1
2111;2021;11;48;2021-11-30T23:00:00+01:00;30 november 2021 23:00:00 uur;NLRTM;BEGEL;1;M3;700;7;550000;0;5;10.2
2111;2021;11;48;2021-11-30T23:00:00+01:00;30 november 2021 23:00:00 uur;NLARK;NLAMS;1;M8;3230;1;;0;;
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLRTM;DEUDN;2;M8;2630;7;1000000;0;8;8.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLTNZ;BEANR;2;M6;1670;7;1025000;0;8;8.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLDEV;NLAMS;21;B04;1040;1;;0;;
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLRTM;DEHMM;2;M8;2620;7;1649000;0;3;7.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLTNZ;BETES;2;M8;3590;7;1150000;0;8;8.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;BEGEL;NLMOE;2;M8;1280;3;0;0;8;8.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLRTM;NLGOR;1;M11;5210;7;1929566;361;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;DERES;NLNWG;1;M5;1290;7;900000;0;4;3.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;BEANR;NLRTM;1;M11;5550;7;835351;93;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLLCH;NLAMS;1;M8;3260;1;;0;;
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLSAR;NLHEJ;1;M6;1850;1;;0;;
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;BEANR;NLRTM;2;M9;4510;3;0;0;3;7.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLPER;BEZEE;1;M12;5520;5;0;372;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLAMS;BEANR;2;M8;2830;7;1900000;0;8;8.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLPER;NLFOX;1;M10;2910;5;0;137;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;BEWIK;BEANR;1;M8;2360;7;450000;72;;
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLWTZ;NLHAR;1;M10;3100;7;480795;91;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLRTM;DEMHG;1;M11;5570;7;747779;188;9;12.1
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLAXL;NLVLA;1;M8;3150;7;2670000;0;6;3.5
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;DEXXX;NLENS;1;M4;1010;7;630000;0;4;3.2
2112;2021;12;48;2021-12-01T00:00:00+01:00;01 december 2021 00:00:00 uur;NLHGS;NLVLI;1;M8;2360;1;;0;;
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;BEOSR;NLVLI;1;M8;3040;1;;0;;
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLAMS;NLRTM;2;M12;5820;3;0;0;3;7.4
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;BEANR;BETRN;1;M7;2110;7;1702000;0;2;2.1
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;BEANR;DEGDO;4;M8;1430;7;999793;0;8;8.2
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLRTM;BEGNE;1;M8;2890;7;2000000;0;1;1.7
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;BEANR;NLRTM;2;M10;4190;3;0;0;8;8.2
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLZWO;NLRTM;2;M8;3020;3;0;0;3;7.2
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLRTM;NLAMS;1;M6;1910;7;1600000;0;6;3.5
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLRTM;DEDUI;1;M12;5000;7;1805909;357;9;19.2
2112;2021;12;48;2021-12-01T01:00:00+01:00;01 december 2021 01:00:00 uur;NLRTM;DESGW;24;BII-4;11420;7;6220000;0;4;3.2
