Jaarmaand;Jaar;Maand;Weeknr;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2012;2020;12;53;31-12-2020 13:00;FRXXX;NLLSH;1;M1;380;7;265000;0;0;1.1
2012;2020;12;53;31-12-2020 13:00;FRXXX;NLLSH;1;M1;370;7;244000;0;0;1.1
2012;2020;12;53;31-12-2020 22:00;BEANR;DEMAL;4;M8;1740;7;1493000;0;8;8.2
2012;2020;12;53;31-12-2020 23:00;NLIJM;NLRTM;2;M8;3120;7;2118000;0;8;8.2
2012;2020;12;53;31-12-2020 23:00;NLVLI;BEANR;4;M8;1660;7;1200000;0;3;7.3
2012;2020;12;53;31-12-2020 23:00;DENSS;NLDZL;1;M8;3150;1;;0;;
2012;2020;12;53;31-12-2020 23:00;NLVLI;BEBRU;2;M10;4290;7;3004000;0;3;7.2
2101;2021;1;53;1-1-2021 00:00;DEGDO;BEANR;2;M8;2860;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 00:00;NLVLI;BEWND;2;M9;3520;7;3000000;0;3;7.2
2101;2021;1;53;1-1-2021 00:00;DEHBO;NLRTM;2;M8;1740;7;500000;0;8;8.2
2101;2021;1;53;1-1-2021 00:00;NLWIS;NLGRA;2;M8;0;1;;0;;
2101;2021;1;53;1-1-2021 00:00;NLAMS;DEDUI;16;BIIa-1;2510;7;2004000;0;3;7.2
2101;2021;1;53;1-1-2021 00:00;DEWLG;NLRTM;2;M8;2480;7;1000000;0;8;8.2
2101;2021;1;53;1-1-2021 00:00;BEGNE;NLXXX;2;M10;3510;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 00:00;BEANR;NLRTM;4;M8;900;3;0;0;3;7.3
2101;2021;1;53;1-1-2021 00:00;NLAMS;BEANR;2;M12;8000;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 00:00;DESGW;NLRTM;26;BII-6b;17050;5;0;0;9;16
2101;2021;1;53;1-1-2021 00:00;NLRTM;DEWOR;4;M8;1160;7;604000;0;8;8.3
2101;2021;1;53;1-1-2021 00:00;BEANR;NLTNZ;2;M8;3100;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 01:00;DEDMG;NLRTM;2;M8;2430;7;2178000;0;8;8.1
2101;2021;1;53;1-1-2021 01:00;NLAMS;NLRTM;2;M8;2750;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 01:00;DEKAE;BEANR;2;M8;2640;7;1200000;0;8;8.2
2101;2021;1;53;1-1-2021 02:00;NLVLI;BEHER;2;M9;3500;7;3000000;0;3;7.2
2101;2021;1;53;1-1-2021 02:00;BEANR;DEMAL;4;M8;1740;7;1493000;0;8;8.2
2101;2021;1;53;1-1-2021 02:00;NLRTM;BEANR;2;M8;2370;7;1830000;0;3;7.2
2101;2021;1;53;1-1-2021 02:00;NLRTM;DESGW;26;BII-6l;17030;7;16800000;0;2;2.1
2101;2021;1;53;1-1-2021 02:00;BEANR;DEKEH;2;M8;3270;7;1930000;0;3;7.2
2101;2021;1;53;1-1-2021 02:00;NLVLI;DEWLG;2;M10;1760;7;1051000;0;3;7.3
2101;2021;1;53;1-1-2021 02:00;BEANR;NLMOE;2;M8;2070;7;720000;0;8;8.5
2101;2021;1;53;1-1-2021 03:00;NLRTM;BEANR;2;M8;3200;7;3085000;0;3;7.2
2101;2021;1;53;1-1-2021 03:00;NLRTM;CHBFL;2;M8;2870;7;1899000;0;8;8.2
2101;2021;1;53;1-1-2021 03:00;BEANR;NLBOT;2;M8;2350;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 03:00;BEGNE;NLRTM;2;M9;4230;1;;0;;
2101;2021;1;53;1-1-2021 03:00;NLTIE;NLRTM;7;C3b;4690;7;920473;76;9;12.1
2101;2021;1;53;1-1-2021 04:00;NLRTM;DEDHU;26;BII-6l;16910;7;15000000;0;4;3.1
2101;2021;1;53;1-1-2021 04:00;NLAMS;NLRTM;0;;3120;7;2100000;0;3;7
2101;2021;1;53;1-1-2021 04:00;DEUDN;BEANR;2;M8;2770;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 04:00;DEDHU;NLRTM;24;BII-4;11300;1;;0;;
2101;2021;1;53;1-1-2021 04:00;NLAMS;BEGNE;2;M8;3220;7;2799000;0;3;7.2
2101;2021;1;53;1-1-2021 04:00;DEGDO;NLRTM;2;M7;2010;7;1650000;0;8;8.2
2101;2021;1;53;1-1-2021 04:00;NLRTM;NLAMS;2;M10;4180;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 04:00;NLTNZ;DECRL;2;M6;1680;7;990000;0;8;8.2
2101;2021;1;53;1-1-2021 05:00;NLMOE;DEUDN;2;M7;1500;3;0;0;8;8.1
2101;2021;1;53;1-1-2021 05:00;NLVLI;NLRTM;2;M10;4120;7;3681644;0;8;8.2
2101;2021;1;53;1-1-2021 05:00;DEMAL;NLVLI;31;BIIL-1;2000;7;1000000;0;8;8.2
2101;2021;1;53;1-1-2021 05:00;NLRTM;BEANR;2;M8;2040;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 05:00;NLRTM;DESGW;26;BII-6l;17010;7;16500000;0;4;3.2
2101;2021;1;53;1-1-2021 05:00;BEANR;NLDOR;2;M8;3200;7;2040000;0;8;8.5
2101;2021;1;53;1-1-2021 06:00;NLWHZ;BEANR;2;M8;0;1;;0;;
2101;2021;1;53;1-1-2021 06:00;NLRTM;NLRTM;2;M8;2480;7;1023000;0;8;8.2
2101;2021;1;53;1-1-2021 06:00;NLRTM;BEANR;2;M6;1560;1;;0;;
2101;2021;1;53;1-1-2021 06:00;NLAMS;BEHER;2;M8;2510;7;2111000;0;3;7.2
2101;2021;1;53;1-1-2021 06:00;DEDMG;NLRTM;2;M12;6610;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 06:00;NLAMS;NLNGV;2;M10;3940;7;3001000;0;3;7.2
2101;2021;1;53;1-1-2021 07:00;BEANR;NLRTM;2;M9;4240;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 07:00;DELUH;BEANR;2;M10;5020;7;1500000;0;9;19.2
2101;2021;1;53;1-1-2021 07:00;NLBZM;NLRTM;1;M8;3100;1;;0;;
2101;2021;1;53;1-1-2021 07:00;DELLS;NLRTM;2;M6;1630;7;1103000;0;8;8.5
2101;2021;1;53;1-1-2021 07:00;NLIJM;BEGHL;1;M5;1180;7;1070000;0;5;10.1
2101;2021;1;53;1-1-2021 07:00;BEANR;FRSXB;2;M9;3340;7;2022000;0;3;7.2
2101;2021;1;53;1-1-2021 07:00;NLAMS;NLDZL;1;M7;2220;1;;0;;
2101;2021;1;53;1-1-2021 07:00;NLVLI;HUXXX;1;M8;3020;7;1010000;0;8;8.4
2101;2021;1;53;1-1-2021 07:00;NLSTI;NLRTM;4;M8;1740;7;95000;0;8;8.3
2101;2021;1;53;1-1-2021 07:00;BEGNE;NLTNZ;2;M8;2670;7;1000000;0;8;8.2
2101;2021;1;53;1-1-2021 07:00;NLRTM;FRSXB;9;C3l;5520;7;1225379;173;9;12.1
2101;2021;1;53;1-1-2021 07:00;NLAMS;BEANR;2;M12;6130;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 07:00;BEMRK;DENSS;1;M6;1260;1;;0;;
2101;2021;1;53;1-1-2021 08:00;NLRTM;NLMOE;2;M8;2990;3;0;0;3;7
2101;2021;1;53;1-1-2021 08:00;BEANR;DEHMM;2;M8;2850;7;2000000;0;3;7.2
2101;2021;1;53;1-1-2021 08:00;DEHAU;BEANR;2;M9;3510;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 08:00;NLDEV;DEXXX;1;M6;1180;1;;0;;
2101;2021;1;53;1-1-2021 08:00;DEWLG;NLBOT;2;M8;2280;7;1204556;0;8;8.5
2101;2021;1;53;1-1-2021 08:00;NLTNZ;NLTNZ;2;M8;1610;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 08:00;NLBZM;BEANR;2;M8;2250;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 08:00;DEDMG;BEGNE;16;BIIa-1;3550;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 08:00;NLEUR;NLDOR;2;M12;58020;3;0;0;3;7.4
2101;2021;1;53;1-1-2021 08:00;BEANR;NLRTM;2;M11;4880;7;1300000;0;8;8.2
2101;2021;1;53;1-1-2021 08:00;DEDMG;NLAMS;2;M12;6610;7;2746000;0;3;7
2101;2021;1;53;1-1-2021 09:00;DEDHU;NLRTM;26;BII-6b;17020;5;0;0;9;16
2101;2021;1;53;1-1-2021 09:00;NLEUR;DEDMG;2;M8;2990;3;0;0;8;8.1
2101;2021;1;53;1-1-2021 09:00;NLGNM;NLAMS;1;M6;1300;1;;0;;
2101;2021;1;53;1-1-2021 09:00;BEWJG;NLRTM;2;M8;1550;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 09:00;DEWLG;NLAMS;2;M8;2690;7;2100000;0;3;7.2
2101;2021;1;53;1-1-2021 09:00;NLAMS;NLRTM;2;M6;1640;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 09:00;NLHGL;DERNH;1;M8;2610;7;1550000;0;6;3.4
2101;2021;1;53;1-1-2021 09:00;NLTNZ;BEANR;2;M8;2530;7;2500000;0;8;8.2
2101;2021;1;53;1-1-2021 09:00;NLRTM;NLRTM;2;M12;6980;7;6280000;0;8;8.2
2101;2021;1;53;1-1-2021 09:00;NLRTM;FRSXB;2;M8;3160;7;1210000;0;3;7.2
2101;2021;1;53;1-1-2021 09:00;NLVLI;NLRTM;2;M8;2670;7;2570000;0;8;8.5
2101;2021;1;53;1-1-2021 09:00;NLRTM;DEGDO;16;BI;1000;7;1360;0;8;8.2
2101;2021;1;53;1-1-2021 09:00;DEDUI;NLRTM;3;M11;4800;7;3586688;243;9;19.1
2101;2021;1;53;1-1-2021 09:00;DEDUI;NLRTM;2;M8;2040;5;0;0;9;11.8
2101;2021;1;53;1-1-2021 09:00;NLRTM;DELUH;2;M8;3280;7;1822000;0;3;7.4
2101;2021;1;53;1-1-2021 10:00;BEANR;NLTHO;1;M8;2440;1;;0;;
2101;2021;1;53;1-1-2021 10:00;NLOSS;NLDZL;1;M7;1700;1;;0;;
2101;2021;1;53;1-1-2021 10:00;BEANR;NLRTM;2;M8;2580;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 10:00;NLAMS;NLRTM;2;M11;4210;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 10:00;DESGW;NLRTM;26;BII-6b;17050;5;0;0;9;16
2101;2021;1;53;1-1-2021 10:00;NLAMS;DEMAL;2;M6;1530;3;0;0;8;8.2
2101;2021;1;53;1-1-2021 10:00;NLMOE;NLRTM;2;M8;3160;5;0;0;3;7.4
2101;2021;1;53;1-1-2021 10:00;BEZEE;DEDUI;3;M12;5520;1;;0;;
2101;2021;1;53;1-1-2021 10:00;BEANR;NLPER;2;M11;4190;3;0;0;3;7.2
2101;2021;1;53;1-1-2021 10:00;BEANR;NLRTM;2;M9;4300;1;;0;;
2101;2021;1;53;1-1-2021 10:00;BEANR;DEBON;9;C3l;5350;7;41307;264;9;19
2101;2021;1;53;1-1-2021 10:00;DELIG;NLAMS;2;M6;1760;7;1220000;0;3;7.2
2101;2021;1;53;1-1-2021 10:00;BEANR;NLRTM;2;M8;3180;7;2800000;0;8;8.2
2101;2021;1;53;1-1-2021 10:00;BEANR;NLRTM;2;M12;12650;7;10000000;0;8;8.2
2101;2021;1;53;1-1-2021 11:00;NLRTM;BEANR;1;M9;3860;7;916822;96;9;12.1
2101;2021;1;53;1-1-2021 11:00;NLHGL;BEKWA;1;M7;2310;7;1730000;0;6;3.4
