Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLAMS;NLLMR;21;BIIL-1;3400;1;;0;;
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;DEUDN;BEANR;2;M8;2610;7;2001000;0;8;8.2
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLRTM;NLAMS;1;M8;2700;1;;0;;
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLLEY;NLSCH;1;M3;780;7;782000;0;6;3.5
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;DELEE;NLAMS;1;M5;1280;7;1000000;0;4;14.2
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLRLA;BEANR;2;M10;4120;3;0;0;8;8.2
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLRTM;NLNWG;1;M5;1300;7;1008000;0;6;9.2
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLRTM;NLAMS;1;M8;3010;7;3000000;0;6;3.5
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLMOE;NLRTM;7;C3b;6380;7;1836414;219;9;12.1
2106;2021;6;26;2021-06-30T23:00:00+02:00;30 juni 2021 23:00:00 uur;NLAMS;NLTIE;1;M4;1100;7;1100000;0;6;3.5
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLVLL;NLSCI;2;M10;1180;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;DEGIG;BEANR;7;C4;4540;7;1947128;225;9;12.1
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLAMS;DEDUI;2;M8;2850;7;2098000;0;3;7.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;BEANR;DENSS;2;M8;3150;7;2000000;0;3;7.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;DEWES;NLZAA;1;M6;1850;7;1700000;0;6;3.5
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;DEHXE;NLRTM;2;M8;2990;3;0;0;3;7.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;DESGW;NLRTM;26;BII-6b;17040;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLWRV;NLRTM;2;M4;800;5;0;0;9;16
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;BEDEL;NLOBO;1;M6;1830;7;1250000;0;6;3.5
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLLOM;NLHAG;1;M3;910;7;770000;0;6;3.5
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLVLI;NLRTM;1;M9;4040;7;4038000;0;6;3.3
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLMOE;BEWLB;1;M10;3850;7;294278;154;9;12.1
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLBON;NLVEN;1;M8;3210;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLHAN;NLSTI;2;M8;1950;3;0;0;8;8.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLBZM;DEDUI;4;M8;1430;7;999715;0;8;8.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLRTM;NLAMS;2;M8;3100;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLBOT;NLAMS;2;M8;2660;7;1050000;0;3;7.2
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLOOS;NLHEJ;1;M6;1520;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;BEHSA;NLNIJ;1;M8;3250;1;;0;;
2107;2021;7;26;2021-07-01T00:00:00+02:00;01 juli 2021 00:00:00 uur;NLRTM;NLVEG;1;M7;2000;7;314986;58;9;12.1
