Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2110;2021;10;43;2021-10-31T23:00:00+01:00;31 oktober 2021 23:00:00 uur;BEANR;NLWKD;1;M9;4000;1;;0;;
2110;2021;10;43;2021-10-31T23:00:00+01:00;31 oktober 2021 23:00:00 uur;DEDHU;BEANR;1;M8;3100;7;1916000;0;6;14.2
2110;2021;10;43;2021-10-31T23:00:00+01:00;31 oktober 2021 23:00:00 uur;DEDAT;NLRTM;9;C3l;5380;1;;0;;
2110;2021;10;43;2021-10-31T23:00:00+01:00;31 oktober 2021 23:00:00 uur;DESGW;NLRTM;24;BII-4;11360;1;;0;;
2110;2021;10;43;2021-10-31T23:00:00+01:00;31 oktober 2021 23:00:00 uur;DEDUI;BEANR;2;M8;3220;3;0;0;3;7.2
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLRTM;BEANR;2;M12;6470;7;2500000;0;8;8.2
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLRTM;NLAMS;2;M8;3190;7;2420000;0;3;7.2
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLMOE;NLOOS;1;M8;3310;7;696208;144;9;12.1
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;DEMHG;NLRTM;7;C4;4940;7;2023312;268;9;12.1
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;BEANR;NLNWG;2;M8;2500;7;2105000;0;3;7.2
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;BEANR;NLHRW;1;M3;1010;7;830000;0;9;
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLRTM;NLWLK;1;M3;910;7;103270;20;9;12.1
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;BEDEZ;NLBRS;1;M6;1850;1;;0;;
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLAMS;NLRTM;2;M8;2540;3;0;0;3;7.4
2111;2021;11;44;2021-11-01T00:00:00+01:00;01 november 2021 00:00:00 uur;NLAMS;BEANR;2;M12;7680;7;5250000;0;3;7.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLVLI;NLVEL;1;M8;3210;7;2248000;0;8;6.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLHTR;NLOSS;1;M5;1400;7;1050000;0;6;3.5
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;BEANR;NLRTM;7;C3b;5600;7;804018;85;;
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLAMS;NLBON;22;BII-2L;6490;7;4612000;0;2;2.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;BEHEX;NLRTM;2;M9;3500;7;2040000;0;8;8.5
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;DESGW;NLRTM;9;C3l;6040;1;;0;;
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLAMS;NLAMS;2;M9;3750;3;0;0;3;7.4
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLRTM;DELUE;7;C4;9260;7;5994000;0;2;7.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;BEGNE;DEDMG;2;M12;6610;7;2560000;0;3;7.4
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLMOE;DEUDN;2;M6;1500;3;0;0;8;8.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLAMS;NLVLA;2;M8;3160;7;1000000;0;8;8.5
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;DEDUI;NLRTM;1;M9;2710;7;1300792;118;9;12.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLVLI;BEGNE;2;M11;4040;7;3800000;0;3;7.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;DEDUI;NLRTM;2;M9;3340;3;0;0;8;8.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;DEDIL;NLVLA;9;C3l;5130;7;2463000;0;5;10.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLRTM;NLAMS;2;M10;4270;7;3200000;0;3;7.4
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLRTM;NLPER;1;M10;2910;7;582933;66;9;12.1
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;DESGW;NLRTM;24;BII-4;11480;1;;0;;
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLDOR;NLTNZ;2;M8;3500;7;1475000;0;3;7.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLRTM;DEGHM;2;M8;1690;7;400000;0;8;8.2
2111;2021;11;44;2021-11-01T01:00:00+01:00;01 november 2021 01:00:00 uur;NLAMS;NLRTM;2;M6;1600;1;;0;;
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;DEMAI;NLRTM;2;M9;3500;7;954000;0;3;7.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLRTM;NLRTM;2;M12;5980;3;0;0;3;7.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLVLI;NLXXX;2;M10;5220;7;1540000;0;8;8.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLRTM;DEUDN;2;M8;2550;7;1247056;0;8;8.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLOMD;NLAMS;2;M6;1710;3;0;0;8;8.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;DEMDI;NLAMS;16;BI;1000;7;977;0;3;7.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLRTM;FRSXB;9;C3l;5520;7;867943;171;9;12.1
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLEEM;NLMOE;1;M8;3200;7;3000000;0;9;
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLHTB;NLABL;1;M8;2060;7;1316512;105;9;12.1
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLRTM;DESTC;1;M9;3920;7;1320000;0;2;2.1
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;BEANR;DENSS;2;M8;3000;7;1300000;0;3;7.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;DEMAL;BEANR;2;M8;3670;7;1152000;0;8;8.2
2111;2021;11;44;2021-11-01T02:00:00+01:00;01 november 2021 02:00:00 uur;NLRTM;DEHMM;2;M8;2630;7;1200000;0;3;7.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLVLI;BEANR;0;;1550;3;0;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLGOR;DEDMG;2;M8;2480;1;;0;;
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;BEANR;DEFRA;2;M8;2920;7;600000;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;DECRL;BEZEL;2;M8;2440;7;750000;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLRTM;BEANR;2;M12;6470;7;2850000;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLRTM;BEANR;2;M8;3180;7;2580000;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;DESGW;NLRTM;24;BII-4;11380;1;;0;;
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLRTM;BEGNE;2;M8;3240;7;3068000;0;8;8.5
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLRTM;NLUTC;1;M8;2660;7;656359;115;9;19.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLRTM;NLSTI;4;M8;1740;7;1465000;0;8;8.3
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;DEGDO;BEANR;2;M8;2480;7;1135000;0;8;8.2
2111;2021;11;44;2021-11-01T03:00:00+01:00;01 november 2021 03:00:00 uur;NLVLI;BEANR;2;M12;8720;7;5500000;0;3;7.4
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLDOR;NLRTM;2;M12;9000;7;1242000;0;8;8.5
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLAER;NLHRN;1;M6;1500;7;1500000;0;6;3.5
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLRTM;BEANR;2;M9;4300;7;2539000;0;3;7.2
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLNIJ;NLRTM;1;M8;1670;7;426114;97;9;12.1
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;BEWIK;NLBRS;1;M6;1730;1;;0;;
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLTNZ;BEDEL;2;M8;2770;7;2500000;0;8;8.2
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;DEDHU;NLRTM;1;M12;5080;5;0;0;9;16
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLAMS;NLPER;1;M9;3860;7;206205;14;9;19.2
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;DEDHU;NLRTM;1;M9;3930;1;;0;;
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLHRN;NLVLI;1;M8;3010;7;2049000;0;9;8.6
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;DEMAL;NLRTM;2;M8;2700;7;998000;0;8;8.5
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;DEGDO;NLRTM;2;M7;1620;7;566217;0;8;8.2
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLVLI;BEHER;2;M10;3510;7;3070000;0;3;7.2
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;NLRTM;NLDOR;2;M10;4310;7;3060000;0;9;1.7
2111;2021;11;44;2021-11-01T04:00:00+01:00;01 november 2021 04:00:00 uur;DEMHG;NLRTM;7;C4;5140;7;2308477;186;8;8.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BESPI;NLOOS;1;M5;1330;7;1050000;0;0;1.1
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLCOL;NLHAN;0;;4900;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BEGNE;DEMUS;1;M6;1500;7;1200000;0;6;3.5
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLRTM;DEMHG;2;M8;2550;7;880000;0;8;8.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;FRBEH;NLRTM;2;M8;2620;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLWBD;NLKRD;1;M3;670;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BEANR;NLBUD;2;M2;500;3;0;0;8;8.1
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BEGNK;DELUE;1;M6;1560;7;1040000;0;6;14.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLWSP;NLAMS;1;M3;1060;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLMAA;DEPYK;1;M2;680;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLSWI;NLWSP;1;M6;1710;7;1700000;0;6;3.5
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLRTM;NLBZM;2;M6;1550;7;1621000;0;3;7.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BEANR;NLKAM;2;M9;3710;7;2500000;0;3;7.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLAMS;BEIZG;1;M2;640;7;500000;0;1;4.4
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLGET;NLHAA;1;M4;1330;7;700000;0;6;3.5
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;DEMAI;NLRTM;2;M6;1600;7;575000;0;1;4.4
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLMOE;DELUH;2;M8;3410;7;577000;0;8;8.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;BEGNE;NLRTM;2;M8;3080;7;2600000;0;8;8.5
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLVLI;DEDRP;1;M6;1590;7;1388000;0;8;8.4
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLVEN;NLBFD;1;M8;2360;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLAMS;DEDON;1;M3;630;7;552000;0;1;4.4
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLVLI;BEROE;2;M8;2580;7;2049509;0;3;7.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLEUR;DEFRA;2;M8;3150;7;650000;0;8;8.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLRTM;NLMOE;2;M6;1490;3;0;0;8;8.2
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;FRSXB;NLHTB;1;M5;1300;7;607000;0;1;4.7
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLRTM;NLAMS;2;M12;8640;7;4997000;0;3;7.4
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLAMS;DEMRU;9;C2l;3500;7;2200000;0;2;2.1
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLGOR;BEBGS;1;M5;1060;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLAMS;DEDUS;1;M3;670;7;500000;0;1;1.7
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLSLD;NLROO;1;M5;1160;1;;0;;
2111;2021;11;44;2021-11-01T05:00:00+01:00;01 november 2021 05:00:00 uur;NLURK;NLAMS;1;M6;2020;7;1900000;0;4;3.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;DEDHU;NLRTM;24;BII-4;11590;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;NLSJK;1;M8;2180;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLELL;NLHBG;1;M2;600;7;540000;0;6;3.5
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;DEBYN;BEBRU;1;M5;1170;7;900000;0;0;1.1
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLMOE;FRWIN;2;M6;1320;7;950000;0;8;8.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;BEGNE;DEFRA;2;M6;1600;7;500000;0;1;4.4
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;BEANR;DEOSN;2;M6;1590;7;924000;0;3;7.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;BETET;DEUDN;2;M6;1640;7;790000;0;8;8.3
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;NLKAM;1;M9;3660;7;1596135;192;9;19.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;DEHMM;2;M6;1380;7;903000;0;1;4.4
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;FRSXB;NLNIJ;9;C3l;2920;7;1472733;130;9;19.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLGET;NLTIE;1;M3;790;7;750000;0;6;3.5
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLZBG;BEANR;2;M4;600;7;418000;0;3;8.5
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;BEANR;DELLS;2;M6;1400;7;770000;0;8;8.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLVLI;NLAMS;2;M12;6670;7;5000000;0;3;7.4
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;NLAMS;1;M8;3240;7;163177;70;9;19.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLVLI;BEANR;2;M12;6510;3;0;0;8;8.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLHDL;NLLOM;1;M8;2240;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLHAR;NLVLL;1;M3;570;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;DENUE;NLRTM;9;C3l;4410;7;1990000;0;6;3.5
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLBON;NLPER;1;M9;3210;7;1772920;200;9;12.1
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;DEHMM;2;M8;2630;7;1655000;0;3;7.2
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;BEANR;NLAMS;4;M8;1800;7;952000;0;3;7.3
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;DEBWF;NLFAR;1;M8;2570;7;1005000;0;1;4.8
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLHGL;NLWIS;1;M4;880;7;80000;32;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLHRW;NLRAS;1;M3;670;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLAMS;NLRTM;1;M6;1400;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLAAL;NLKAI;1;M8;3090;1;;0;;
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLRTM;DEDHU;24;BII-4;11340;7;5200000;0;4;3.1
2111;2021;11;44;2021-11-01T06:00:00+01:00;01 november 2021 06:00:00 uur;NLUTC;NLOCC;1;M4;960;1;;0;;
