Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2105;2021;5;22;2021-05-31T22:00:00+02:00;31 mei 2021 22:00:00 uur;NLBRS;BEGNE;1;M3;900;1;;0;;
2105;2021;5;22;2021-05-31T23:00:00+02:00;31 mei 2021 23:00:00 uur;BEANR;NLSCI;1;M6;2060;7;1970000;0;6;3.5
2105;2021;5;22;2021-05-31T23:00:00+02:00;31 mei 2021 23:00:00 uur;FRMKM;BEHER;1;M9;4200;7;3600000;0;6;3.5
2105;2021;5;22;2021-05-31T23:00:00+02:00;31 mei 2021 23:00:00 uur;NLVLI;NLSTD;1;M8;1780;7;1750000;0;6;3.5
2105;2021;5;22;2021-05-31T23:00:00+02:00;31 mei 2021 23:00:00 uur;NLAMS;BEANR;1;M11;5500;1;;0;;
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLAPN;NLMOE;1;M8;1940;7;1278568;100;9;12.1
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLMAA;NLAER;1;M4;840;7;730000;0;6;3.5
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;DELEV;BELGG;1;M9;3900;7;3000000;0;6;3.5
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLAMS;NLWKD;2;M9;3410;3;0;0;3;7
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLRTM;BEANR;2;M8;3550;7;20000;0;8;8.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLMAA;BEBRU;1;M8;3200;7;3000000;0;6;3.5
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;BEANR;BEGNE;2;M8;2130;3;0;0;3;7
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLRTM;NLPTK;2;M8;2100;3;0;0;8;8.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;BECRQ;NLZWI;2;M6;1310;7;1131000;0;6;9.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLDZL;NLBOT;1;M8;3010;7;2970000;0;6;3.4
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLTNZ;BEANR;2;M8;3000;7;2800000;0;8;8.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLRTM;NLMEP;1;M8;3260;7;2700000;0;6;3.5
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLKRD;NLMLR;1;M3;670;1;;0;;
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLRTM;NLAMS;1;M8;3290;5;0;132;9;12.1
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;DEDMG;NLAMS;2;M12;8700;7;3301000;0;3;7
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLVLI;BEKOU;1;M8;2530;7;2200000;0;6;3.5
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;BEANR;NLRTM;2;M10;4230;7;3600000;0;3;7.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLTNZ;NLBRS;1;M8;3610;1;;0;;
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLTNZ;NLSTI;4;M8;1850;7;1013761;0;8;8.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;BEANR;NLTNZ;31;BII-1;1740;7;1600000;0;8;8.2
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;NLLAN;NLEUR;0;;0;1;;0;;
2106;2021;6;22;2021-06-01T00:00:00+02:00;01 juni 2021 00:00:00 uur;BEANR;DELUH;31;BIIL-1;2210;7;1200000;0;3;7.3
