Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DELUH;NLRTM;2;M8;2350;3;0;0;8;8.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLVLI;NLAMS;2;M12;7680;7;5250000;0;3;7
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLRTM;NLAMS;2;M8;3100;7;2765548;0;8;8.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DEKKR;NLDFT;1;M3;950;7;800000;0;6;3.5
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLRTM;BEANR;2;M12;8660;7;5900000;0;8;8.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DEBSH;BEGNE;1;M9;4140;7;1650000;0;0;1.1
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DEEME;NLGRO;2;M6;1560;7;1200000;0;3;7
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLNIJ;BEANR;9;C3l;3220;7;1577693;139;9;19
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLWIS;BEANR;2;M8;2780;3;0;0;8;8.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;NLRTM;BEANR;2;M8;3180;3;0;0;3;7.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;BEANR;DELUH;2;M8;2270;7;1000000;0;8;8.2
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DEDUI;BEANR;2;M8;3200;7;1253000;0;3;7.4
2104;2021;4;17;2021-04-30T23:00:00+02:00;30 april 2021 23:00:00 uur;DEEMM;NLGOR;1;M11;4330;7;2395508;238;9;12.1
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;BEANR;NLRTM;3;M11;5130;7;360551;52;9;19.1
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;BEANR;DEMAL;4;M8;1440;7;1251000;0;8;8.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;NLAMS;NLRTM;2;M12;8750;3;0;0;3;7.4
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;NLNIJ;NLWAS;1;M8;3200;7;385010;87;9;12.1
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;NLRTM;BEANR;2;M8;3460;7;3000000;0;3;7.4
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;BEANR;NLAMS;2;M10;4230;7;3150000;0;3;7.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;DEKRE;NLRTM;2;M8;2650;3;0;0;8;8.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;NLMOE;NLRTM;2;M11;5960;7;3300000;0;8;8.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;DEIFF;BEANR;2;M8;2380;3;0;0;3;7.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;DEWLG;NLRTM;2;M12;6360;7;1706000;0;8;8.2
2105;2021;5;17;2021-05-01T00:00:00+02:00;01 mei 2021 00:00:00 uur;NLHAS;NLAMS;9;C3l;5670;1;;0;;
