Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLVLA;BEANR;2;M8;2600;7;2300000;0;8;8.5
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;DEMAI;NLRTM;1;M11;4320;7;2303790;278;9;12.1
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLRTM;BEANR;2;M12;6140;5;0;0;8;8.5
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLRTM;DEGDO;2;M8;2990;7;2000000;0;3;7.4
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;DELRN;NLHRD;1;M6;1300;7;1235000;0;6;3.5
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLAMS;NLOME;1;M8;2700;7;2200000;0;6;3.5
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLVLI;NLHJY;0;;3680;1;;0;;
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;BEDEL;NLHDL;1;M8;2260;7;2200000;0;6;3.5
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;BEANR;NLBOT;2;M8;2550;7;2100000;0;8;8.2
2103;2021;3;13;2021-03-31T23:00:00+02:00;31 maart 2021 23:00:00 uur;NLABL;BEMEH;9;C3l;7000;7;575229;182;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;DELUH;NLRTM;2;M8;2650;3;0;0;3;7.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLENK;NLLEY;1;M8;2420;7;2400000;0;6;3.5
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;BEANR;NLRTM;2;M9;4230;3;0;0;3;7.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;BEDEL;NLROO;1;M6;1610;7;1100000;0;6;3.5
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;BEWDG;1;M8;3150;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLTNZ;BEGNE;0;;0;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLARN;NLBON;1;M4;900;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;BEMSI;NLAMS;21;BIIa-1;2610;7;2250000;0;4;14.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;NLAMS;1;M11;4590;7;473590;60;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLMAA;NLAMS;1;M8;3070;7;2600000;0;6;3.5
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;DEMHG;NLRTM;7;C3b;2420;7;1425000;0;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;DEMRU;NLWGW;1;M8;2340;7;1700000;0;6;3.5
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLAMS;NLRTM;2;M12;5900;7;4500000;0;3;7.4
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;DEKAE;NLOCC;2;M8;2360;3;0;0;3;7.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLWLK;NLEUR;3;M3;890;1;;33;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLDZL;NLRTM;2;M8;3150;7;2540000;0;8;8.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;DEDUS;2;M8;2600;7;2000000;0;1;4.4
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;NLDOE;1;M8;1800;7;111869;89;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;NLDOR;2;M8;1610;3;0;0;8;8.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLDOR;NLMAA;1;M8;3040;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;BEANR;DEHAU;2;M9;3510;7;1821000;0;3;7.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;BEANR;9;C3l;5600;7;3792153;269;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLHRW;NLAMS;1;M6;1930;7;1840000;0;6;3.5
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLVLI;DEDUI;4;M8;1420;7;998000;0;3;7.3
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLTHO;NLIJM;1;M8;1800;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;NLAMS;2;M12;6330;7;3800000;0;3;7.2
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;BEANR;BEGNE;1;M7;1850;1;;0;;
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLRTM;DEDUS;1;M9;670;7;380000;0;9;12.1
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLHAR;NLAMS;1;M10;3100;7;1103190;63;9;19
2104;2021;4;13;2021-04-01T00:00:00+02:00;01 april 2021 00:00:00 uur;NLWED;NLDOR;1;M9;3950;1;;0;;
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;DESGW;NLRTM;26;BII-6b;17050;1;;0;;
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLRLA;NLMOE;2;M8;2670;3;0;0;8;8.2
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLVLI;BEGNE;0;;2510;7;2400000;0;3;7.2
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLMEP;NLRTM;1;M8;2760;7;1336173;158;9;19
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLVLI;DEDNT;9;C2l;3420;7;2669000;0;6;14.2
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLAMS;NLHAS;1;M8;3290;7;50905;78;9;19
2104;2021;4;13;2021-04-01T01:00:00+02:00;01 april 2021 01:00:00 uur;NLPAP;DEMAL;2;M8;2010;3;0;0;8;8.1
