Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;DEDHU;NLRTM;1;M9;3890;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLRTM;BEANR;2;M12;8710;7;3000000;0;8;8.2
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;ATLNZ;BEANR;1;M8;3090;7;1480000;0;9;11.4
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLRTM;DEKAE;2;M8;2280;7;735000;0;8;8.5
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLKAM;NLNWG;1;M7;2230;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLDOR;LUMRT;2;M8;0;5;0;0;8;14.2
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;DELUH;BEANR;2;M8;2800;7;1253000;0;8;8.3
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLOOS;BEANR;1;M6;1610;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLRTM;DEGDO;2;M12;6350;7;2272000;0;8;8.2
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLENS;NLRTM;1;M6;1520;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLVLA;BEBRU;2;M9;4000;7;500000;0;8;8.2
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLTEA;NLHRW;1;M3;960;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLOSS;NLHEJ;1;M8;2500;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLAMS;DEHEN;1;M7;2120;7;1262525;0;2;2.1
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLAMS;NLURK;1;M6;1420;1;;0;;
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLTIE;BEANR;24;BII-4;12390;7;5600000;0;1;1.7
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;DEMAL;BEANR;4;M8;1430;3;0;0;3;7.3
2109;2021;9;39;2021-09-30T23:00:00+02:00;30 september 2021 23:00:00 uur;NLRTM;DEWLM;9;C3l;5140;7;4094000;0;2;2.1
2110;2021;10;39;2021-10-01T00:00:00+02:00;01 oktober 2021 00:00:00 uur;NLAPN;NLHEJ;1;M2;730;1;;0;;
2110;2021;10;39;2021-10-01T00:00:00+02:00;01 oktober 2021 00:00:00 uur;NLAMS;NLMOE;2;M9;3750;3;0;0;3;7.4
2110;2021;10;39;2021-10-01T00:00:00+02:00;01 oktober 2021 00:00:00 uur;BEANR;NLRTM;2;M8;2500;5;0;0;9;16
