Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;BEANR;2;M10;4210;7;3700000;0;8;8.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLNIJ;NLWAS;1;M8;3200;7;221730;67;9;12.1
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;BEANR;BEGNE;1;M5;1200;5;0;0;9;19.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;NLSLU;1;M8;3040;1;;0;;
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLTIE;BEANR;1;M8;2010;5;0;108;9;12.1
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;BEKOU;NLRTM;2;M10;4280;7;1515000;0;8;8.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLHAR;NLVDM;1;M4;1150;1;;0;;
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRLA;DEWOR;2;M8;1630;7;1000000;0;8;8.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLTLB;NLRTM;1;M8;3230;7;387272;104;9;12.1
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;DEMHG;BEANR;9;C3l;3840;7;2108497;183;9;19.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;NLAMS;2;M8;2060;7;1750000;0;3;7.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;DEBON;1;M11;5500;7;1209960;154;9;12.1
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;BEANR;2;M8;3100;7;1729620;0;8;8.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;DEBED;BEANR;2;M8;2630;3;0;0;3;7.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLRTM;BEANR;2;M10;4220;7;3697000;0;8;8.2
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLNIJ;NLBNB;1;M8;3430;1;;0;;
2108;2021;8;35;2021-08-31T23:00:00+02:00;31 augustus 2021 23:00:00 uur;NLPER;NLTIE;1;M9;4030;7;4025000;0;6;3.5
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;BEGBB;NLHRW;1;M8;3360;7;2773000;0;9;
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;BEGEL;NLABL;9;C3l;7000;7;1662500;62;9;12.1
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLTNZ;NLVLI;1;M11;5040;7;2230126;208;9;12.1
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLRTM;NLGOR;1;M12;6400;7;1632647;364;9;12.1
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;BEBLE;NLBRS;1;M8;2240;1;;0;;
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLECH;NLSLD;1;M4;1120;1;;0;;
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLHAS;NLAMS;1;M8;3290;7;553186;91;9;19.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLMOE;NLSLU;1;M8;3260;7;2527000;0;6;14.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;DEEME;NLAMS;1;M7;2010;1;;0;;
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLRTM;DEDUI;0;;2530;7;1770000;0;5;10.1
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLRTM;NLAMS;1;M11;4590;1;;0;;
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;DEBWE;BEGNE;1;M8;2330;7;1671000;0;6;3.5
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;CHBFL;NLEEM;1;M8;2800;7;2445000;0;6;3.3
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLVLI;NLTNZ;1;M8;3050;7;2000000;0;6;3.5
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLPER;DEDUI;1;M8;2690;7;452267;117;9;12.1
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLRTM;NLVEN;1;M9;3210;7;1076886;131;9;19.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;DEWOR;BEANR;2;M8;2950;3;0;0;8;8.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLARN;NLAMS;2;M8;2520;3;0;0;3;7.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;BEANR;NLMOE;2;M6;1680;3;0;0;8;8.2
2109;2021;9;35;2021-09-01T00:00:00+02:00;01 september 2021 00:00:00 uur;NLWIW;NLSOP;1;M5;1310;7;1309000;0;6;3.5
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLLEY;NLSPK;1;M4;970;7;970000;0;6;3.5
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLWDE;NLROO;1;M3;870;7;800000;0;6;3.5
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLVLI;NLRTM;2;M8;2670;1;;0;;
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLPER;NLVEG;1;M6;1500;7;360000;48;9;12.1
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLRTM;NLABL;1;M9;3900;7;1046158;253;9;12.1
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLLOM;NLHAG;1;M3;920;7;821000;0;6;3.5
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;BEANR;DELUH;2;M8;1430;7;1100000;0;8;8.2
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLAMS;DEMHG;9;C3l;5180;7;4034000;0;2;2.1
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLRTM;DEKRE;2;M8;3130;7;2845478;0;1;4.4
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLGOR;DEEMM;1;M12;5890;7;1941115;272;9;12.1
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLVLI;BEGNE;2;M8;2280;7;1052096;0;3;7.2
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLAMS;NLLAV;2;M8;2650;3;0;0;3;7.2
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLHEJ;BEJET;1;M9;3930;7;3200000;0;6;3.5
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLVLA;NLZWI;2;M5;980;7;500000;0;1;4.4
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLSVG;NLRTM;2;M6;1600;5;0;0;8;8.4
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;BEANR;NLRTM;2;M7;1930;7;1600000;0;3;7.2
2109;2021;9;35;2021-09-01T01:00:00+02:00;01 september 2021 01:00:00 uur;NLRTM;DESGW;26;BII-6l;16880;7;15000000;0;4;3.2
