Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2112;2021;12;52;2021-12-31T23:00:00+01:00;31 december 2021 23:00:00 uur;DEMHG;BEANR;2;M9;3510;3;0;0;3;7.2
2112;2021;12;52;2021-12-31T23:00:00+01:00;31 december 2021 23:00:00 uur;DEDMG;BEGNE;16;BIIa-1;3550;3;0;0;3;7.4
2112;2021;12;52;2021-12-31T23:00:00+01:00;31 december 2021 23:00:00 uur;NLVLI;NLRTM;4;M8;1800;7;951000;0;3;7.3
2112;2021;12;52;2021-12-31T23:00:00+01:00;31 december 2021 23:00:00 uur;NLRTM;BEGNE;2;M10;3940;7;3392000;0;3;7.2
2112;2021;12;52;2021-12-31T23:00:00+01:00;31 december 2021 23:00:00 uur;NLRTM;BEGNE;2;M9;4290;7;2000000;0;8;8.5
2201;2022;1;52;2022-01-01T00:00:00+01:00;01 januari 2022 00:00:00 uur;NLAMS;DEBOT;9;C3l;5700;7;3980000;0;2;7.1
2201;2022;1;52;2022-01-01T00:00:00+01:00;01 januari 2022 00:00:00 uur;NLRTM;DEBED;2;M9;3510;7;2697000;0;3;7.2
2201;2022;1;52;2022-01-01T00:00:00+01:00;01 januari 2022 00:00:00 uur;NLAMS;BEANR;2;M12;8710;3;0;0;3;7.4
2201;2022;1;52;2022-01-01T00:00:00+01:00;01 januari 2022 00:00:00 uur;BEANR;NLAMS;2;M9;4520;7;3600000;0;3;7.2
2201;2022;1;52;2022-01-01T00:00:00+01:00;01 januari 2022 00:00:00 uur;NLRTM;NLNIJ;2;M6;1390;7;1150000;0;1;4.4
2201;2022;1;52;2022-01-01T01:00:00+01:00;01 januari 2022 01:00:00 uur;NLRTM;DESGW;26;BII-6l;17130;7;16470000;0;4;3.2
2201;2022;1;52;2022-01-01T01:00:00+01:00;01 januari 2022 01:00:00 uur;DEMAG;BEANR;2;M7;2000;7;1454000;0;8;8.5
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;DEKAE;NLRTM;2;M12;6350;7;4455000;0;8;8.2
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;NLRTM;DELUH;2;M9;4540;7;2520000;0;3;7.4
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;DEWLG;NLRTM;2;M12;6470;7;5500000;0;8;8.2
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;DEHAU;BEANR;2;M9;4000;5;0;0;3;7.2
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;DESGW;NLRTM;26;BII-6b;16990;1;;0;;
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;NLRTM;BEANR;2;M8;2370;7;2170000;0;3;7.2
2201;2022;1;52;2022-01-01T02:00:00+01:00;01 januari 2022 02:00:00 uur;NLRTM;BEANR;2;M8;3170;7;3095000;0;3;7.2
2201;2022;1;52;2022-01-01T03:00:00+01:00;01 januari 2022 03:00:00 uur;DELUH;NLRTM;2;M8;2570;3;0;0;3;7.4
2201;2022;1;52;2022-01-01T03:00:00+01:00;01 januari 2022 03:00:00 uur;DEDMG;NLRTM;2;M10;5030;7;4700000;0;8;8.1
2201;2022;1;52;2022-01-01T03:00:00+01:00;01 januari 2022 03:00:00 uur;BEANR;DEMAL;4;M8;1430;7;600000;0;3;7.3
2201;2022;1;52;2022-01-01T03:00:00+01:00;01 januari 2022 03:00:00 uur;BEANR;NLRTM;4;M8;900;3;0;0;3;7.3
