Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2107;2021;7;30;2021-07-31T23:00:00+02:00;31 juli 2021 23:00:00 uur;NLGOR;BEANR;1;M12;6770;7;5191106;283;9;12.1
2107;2021;7;30;2021-07-31T23:00:00+02:00;31 juli 2021 23:00:00 uur;BEANR;DELUH;2;M7;1530;7;1256;0;8;8.2
2107;2021;7;30;2021-07-31T23:00:00+02:00;31 juli 2021 23:00:00 uur;NLRTM;BEANR;2;M9;4520;7;3990000;0;3;7.4
2107;2021;7;30;2021-07-31T23:00:00+02:00;31 juli 2021 23:00:00 uur;DEDUI;BEANR;9;C4;5170;7;2909435;281;9;19.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;DEPYK;NLRTM;1;M9;3920;1;;0;;
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;DELUH;NLAMS;2;M9;3370;7;1012000;0;8;8.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;NLRTM;BEANR;2;M12;6060;7;3700000;0;8;8.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;NLRTM;BEANR;2;M10;4240;7;3194000;0;8;8.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;NLAMS;NLLAV;2;M10;3500;7;3100000;0;3;7.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;NLMOE;DEWLG;2;M8;2860;5;0;0;9;16
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;FRSXB;NLNGV;2;M8;2410;3;0;0;3;7.2
2108;2021;8;30;2021-08-01T00:00:00+02:00;01 augustus 2021 00:00:00 uur;BEGNE;NLAMS;2;M6;1540;1;;0;;
