Jaarmaand;Jaar;Maand;Weeknr;v05_06_begindt_evenement_iso;v05_06_Begindt_evenement;UNLO_herkomst;UNLO_bestemming;v15_1_Scheepstype_RWS;SK_CODE;v18_Laadvermogen;v28_Beladingscode;v38_Vervoerd_gewicht;v30_4_Containers_TEU_S;nstr_nw;nst2007_nw
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;NLAMS;BEANR;2;M8;3320;3;0;0;3;7.4
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;DEDMG;BEANR;2;M12;6610;7;1997000;0;3;7
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;DEGER;BEANR;9;C3l;4370;7;2502763;264;9;12.1
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;NLAMS;NLRTM;2;M8;2640;3;0;0;3;7.4
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;FRNOY;DEPYK;1;M2;970;7;780000;0;1;4.4
2101;2021;1;4;2021-01-31T23:00:00+01:00;31 januari 2021 23:00:00 uur;DEDHU;NLBOT;24;BII-4;11310;1;;0;;
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;NLRTM;BEANR;2;M8;2770;7;2070000;0;8;8.2
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;DEHMM;NLRTM;2;M6;1210;1;;0;;
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;NLRTM;NLZWI;2;M8;2690;5;0;0;9;16
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;DESAR;NLGRA;2;M6;1510;3;0;0;3;7.2
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;DEDMG;NLRTM;2;M8;2990;7;2900000;0;8;8.1
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;BEANR;NLRTM;1;M12;4230;7;2178060;184;9;12.1
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;NLHAR;BEECH;1;M8;3420;7;3000000;0;6;3.4
2102;2021;2;5;2021-02-01T00:00:00+01:00;01 februari 2021 00:00:00 uur;NLBOT;DESGW;24;BII-4;11470;7;9604000;0;2;2.1
