,country,city_abbr,function,coords
0,NL,,,
1,NL,AAH,--3-----,5300N 00646E
2,NL,ALB,--3-----,
3,NL,AAM,1-------,
4,NL,AMB,1-3-----,5216N 00445E
5,NL,AAL,1-3-----,5157N 00532E
6,NL,LTE,--3-----,
7,NL,AZU,--3-----,5210N 00454E
8,NL,AAR,--3-----,
9,NL,ADV,--3-----,5208N 00444E
10,NL,ARI,1-3-----,5130N 00538E
11,NL,AGT,--3-----,5302N 00534E
12,NL,ABB,--3-----,
13,NL,ABK,--3-----,
14,NL,ABE,--3-----,5214N 00435E
15,NL,ABC,--3-----,
16,NL,QCJ,--3-----,
17,NL,ACH,--3-----,5208N 00530E
18,NL,AHO,1-3-----,5203N 00459E
19,NL,AHZ,--3-----,5141N 00416E
20,NL,ACK,--3-----,5315N 00609E
21,NL,ADU,--3-----,5315N 00628E
22,NL,AEH,--3-----,
23,NL,AKL,1-------,
24,NL,AKR,--3-----,
25,NL,ABN,--3-----,
26,NL,ABL,1-------,
27,NL,AWD,123--6--,5151N 00425E
28,NL,ALK,123-----,5238N 00445E
29,NL,ALW,--3-----,5303N 00527E
30,NL,ALM,123-----,5221N 00640E
31,NL,AMN,-----6--,5209N 00618E
32,NL,AER,1-3--6--,5222N 00513E
33,NL,AKK,--3-----,
34,NL,APH,--3-----,5129N 00457E
35,NL,APN,123-----,5208N 00440E
36,NL,AAC,--3-----,5129N 00457E
37,NL,5RD,--3-----,5241N 00629E
38,NL,VRT,--3-----,5303N 00700E
39,NL,ART,--3-----,5151N 00534E
40,NL,AED,--3--6--,5157N 00458E
41,NL,AML,1--4----,
42,NL,ZAI,-----6--,5126N 00559E
43,NL,AMR,1-3-----,5200N 00528E
44,NL,AME,123-----,5209N 00523E
45,NL,AMZ,--3-----,
46,NL,ALH,-23-----,5214N 00450E
47,NL,AMV,--3-----,
48,NL,ATR,-----6--,5056N 00556E
49,NL,AMS,12345---,5224N 00449E
50,NL,ANL,--3-----,
51,NL,ANT,--3-----,
52,NL,AND,--3-----,5300N 00641E
53,NL,AIJ,--3-----,
54,NL,REN,--3-----,5155N 00558E
55,NL,AJM,--3-----,
56,NL,ANP,1-3-----,5252N 00452E
57,NL,NNE,--3-----,
58,NL,APE,-23-----,
59,NL,APS,--3-----,5257N 00622E
60,NL,APP,1-3-----,5319N 00652E
61,NL,ARC,1-3-----,5129N 00611E
62,NL,ARK,--3-----,
63,NL,ARM,--3-----,
64,NL,ARN,-23-----,
65,NL,ARU,--3-----,5308N 00529E
66,NL,ASC,--3-----,5156N 00519E
67,NL,ASP,--3-----,
68,NL,ASS,--3-----,
69,NL,ASD,--3-----,
70,NL,AST,--3-----,5124N 00544E
71,NL,ZAC,-----6--,5313N 00610E
72,NL,AVE,--3-----,
73,NL,AXL,--3-----,5116N 00355E
74,NL,BA2,--3-----,5207N 00620E
75,NL,BGE,123-----,5215N 00459E
76,NL,ARD,--3-----,5309N 00540E
77,NL,BRA,1-3-----,5124N 00352E
78,NL,BNS,--3-----,
79,NL,BLO,--3-----,
80,NL,BAA,-23-----,5213N 00516E
81,NL,BBR,--3-----,5154N 00607E
82,NL,BAD,--3-----,
83,NL,BXE,--3-----,
84,NL,BAF,--3-----,
85,NL,BAK,--3-----,5130N 00544E
86,NL,BKH,--3-----,5252N 00527E
87,NL,BAL,--3-----,
88,NL,BKB,--3-----,
89,NL,BAN,1-3-----,5246N 00545E
90,NL,BRR,123-----,
91,NL,BAR,--3-----,
92,NL,BGO,1-3-----,5247N 00451E
93,NL,BHM,1-3-----,5317N 00550E
94,NL,BTH,--3-----,
95,NL,BAV,--3-----,
96,NL,BED,--3-----,
97,NL,BGD,--3-----,5111N 00555E
98,NL,BEQ,--3-----,
99,NL,ZAK,---4-6--,5132N 00557E
100,NL,BEE,--3-----,
101,NL,BSR,--3-----,5255N 00500E
102,NL,BBB,--3-----,5143N 00550E
103,NL,BSD,--3-----,
104,NL,BSL,1-3-----,5116N 00602E
105,NL,BGM,--3-----,5314N 00541E
106,NL,BTS,1-3-----,5235N 00458E
107,NL,BEZ,--3-----,5330N 00650E
108,NL,BEI,--3-----,
109,NL,BSP,--3-----,5217N 00435E
110,NL,BEW,--3-----,
111,NL,BFD,1-3-----,5119N 00607E
112,NL,NWR,--3-----,5307N 00709E
113,NL,BEM,1-3-----,5154N 00554E
114,NL,BUW,--3-----,5153N 00531E
115,NL,BEB,--3-----,
116,NL,BKM,--3-----,
117,NL,BBK,--3-----,5242N 00502E
118,NL,HOP,-----6--,5200N 00459E
119,NL,BTO,-2------,5214N 00641E
120,NL,BHZ,--3-----,
121,NL,BEN,--3-----,
122,NL,BRG,--3-----,5120N 00551E
123,NL,BTT,--3-----,
124,NL,BGB,--3-----,
125,NL,BEY,--3-----,5119N 00522E
126,NL,BRX,--3-----,5136N 00602E
127,NL,BGN,--3-----,5240N 04420E
128,NL,BEG,1-------,
129,NL,BZM,123-----,5130N 00418E
130,NL,BGH,-23-----,5232N 00637E
131,NL,BGI,1-3-----,
132,NL,BGY,-----6--,5119N 00521E
133,NL,BHR,--3-----,5151N 00540E
134,NL,BEH,--3-----,
135,NL,BHE,--3-----,5146N 00534E
136,NL,BEK,--3-----,5159N 00429E
137,NL,BGU,--3-----,
138,NL,BEJ,--3-----,5120N 00557E
139,NL,BKE,--3-----,
140,NL,BER,-23-----,5159N 00429E
141,NL,BES,--3-----,
142,NL,KLL,--3-----,5207N 00632E
143,NL,BKT,--3--6--,5238N 00500E
144,NL,BLU,1-3-----,5140N 00523E
145,NL,BLM,--3-----,5315N 00539E
146,NL,EEZ,--3-----,5144N 00532E
147,NL,BST,1-3-----,5130N 00524E
148,NL,BEU,--3-----,
149,NL,BNN,1-3-----,5152N 00547E
150,NL,BEC,--3-----,
151,NL,BEV,123-----,
152,NL,BNZ,1-3-----,5227N 00542E
153,NL,BIR,--3-----,5323N 00652E
154,NL,BRV,--3-----,5119N 00341E
155,NL,BIT,1-3-----,5131N 00509E
156,NL,BZO,-23--6--,5137N 00511E
157,NL,BDR,1-3-----,5213N 00443E
158,NL,BHV,--3-----,
159,NL,BNM,1-------,
160,NL,BDA,1-3-----,5318N 00553E
161,NL,BLD,--3-----,
162,NL,BLL,--3-----,
163,NL,BLA,--3-----,
164,NL,BLW,--3-----,
165,NL,BLE,123-----,5122N 00610E
166,NL,BLG,--3-----,
167,NL,BLI,--3-----,5321N 00551E
168,NL,BMD,--3-----,
169,NL,BLK,--3-----,
170,NL,BZL,--3-----,5243N 00558E
171,NL,BNH,1-3-----,5305N 00549E
172,NL,BOA,--3-----,5305N 00541E
173,NL,BDK,--3-----,5239N 00500E
174,NL,BOG,1-3-----,5205N 00445E
175,NL,BRW,--3-----,5205N 00445E
176,NL,BCP,--3-----,5156N 00507E
177,NL,BEL,--3-----,5136N 00540E
178,NL,BOE,--3-----,5235N 00445E
179,NL,BKL,--3-----,
180,NL,BUE,--3-----,
181,NL,BOL,--3-----,
182,NL,BOK,--3-----,5257N 00601E
183,NL,BZW,1-3-----,5253N 00534E
184,NL,BWW,1-3-----,5257N 00545E
185,NL,BMK,--3-----,
186,NL,BRC,--3-----,
187,NL,BGR,--3--6--,5255N 00647E
188,NL,BOO,--3-----,5253N 00652E
189,NL,BGW,1-3-----,5318N 00701E
190,NL,BON,1-3-----,5102N 00549E
191,NL,BRE,--3-----,5218N 00645E
192,NL,BNB,--3-----,
193,NL,BOR,1-3-----,5125N 00343E
194,NL,BXC,--3-----,5116N 00535E
195,NL,UTB,--3-----,5207N 00515E
196,NL,BSK,1-3-----,
197,NL,BOS,--3-----,5134N 00433E
198,NL,BSH,1-3-----,5134N 00605E
199,NL,BOT,1-3-----,5153N 00417E
200,NL,BTA,1-3-----,5301N 00712E
201,NL,HRX,--3-----,5149N 00453E
202,NL,BOV,--3-----,5241N 00514E
203,NL,BVL,--3-----,5153N 03310E
204,NL,BVI,1-3-----,5259N 00629E
205,NL,BOX,--3-----,
206,NL,BXT,--3-----,
207,NL,BMT,--3-----,5155N 00616E
208,NL,BRK,--3-----,
209,NL,BTG,--3-----,5321N 00556E
210,NL,BRD,123-----,5134N 00448E
211,NL,BDV,--3-----,5157N 00637W
212,NL,BRZ,--3-----,
213,NL,BRS,1-3-----,5123N 00334E
214,NL,RUK,1-3-----,
215,NL,BRI,1-3-----,
216,NL,BRT,-2---6--,5315N 00547E
217,NL,BIW,--3-----,
218,NL,BRL,--3-----,
219,NL,BRH,-----6--,5129N 00609E
220,NL,BCK,--3-----,5203N 00618E
221,NL,BRO,1-------,
222,NL,BRU,--3-----,
223,NL,BSE,1-3-----,
224,NL,BRM,1-3-----,
225,NL,BRN,--3-----,
226,NL,BUD,1--4----,
227,NL,BDD,-23-----,5114N 00534E
228,NL,BNU,1-3-----,5114N 00559E
229,NL,BKA,--3-----,5213N 00434E
230,NL,BUI,-----6--,5315N 00609E
231,NL,BNE,123-----,5053N 00544E
232,NL,BUK,--3-----,
233,NL,BNK,--3-----,
234,NL,BUN,1-3-----,
235,NL,BSB,-----6--,5214N 00522E
236,NL,BUR,--3-----,5154N 00520E
237,NL,BGG,--3-----,5245N 00442E
238,NL,BVG,1-3-----,5245N 00441E
239,NL,BMS,-----6--,5142N 00344E
240,NL,BHS,1-------,5141N 00345E
241,NL,BWE,1-3-----,5305N 00533E
242,NL,BUU,--3-----,5316N 00614E
243,NL,SSO,1----6--,5212N 00608E
244,NL,BSS,--3-----,
245,NL,CDK,--3-----,5050N 00546E
246,NL,CZD,1-3-----,5122N 00324E
247,NL,CTO,--3-----,5250N 00442E
248,NL,CPD,1-3-----,5245N 00439E
249,NL,CAP,--3-----,
250,NL,CPI,1-------,
251,NL,CSY,--3-----,5129N 00602E
252,NL,CAS,--3-----,
253,NL,CAA,-----6--,5130N 00452E
254,NL,COE,123-----,
255,NL,COL,--3-----,5136N 00351E
256,NL,CHJ,--3-----,5215N 00613E
257,NL,COT,--3-----,
258,NL,CRK,--3-----,5118N 00535E
259,NL,CRI,123-----,5246N 00540E
260,NL,CIJ,--3-----,5144N 00426E
261,NL,CRU,--3-----,
262,NL,CUY,--3-----,5144N 00553E
263,NL,CUB,1-3-----,
264,NL,TRE,--3-----,5242N 00645E
265,NL,DAL,--3-----,
266,NL,DAM,--3-----,5317N 00559E
267,NL,DTU,--3-----,5317N 00600E
268,NL,DBI,--3-----,
269,NL,BLS,--3-----,5250N 00630E
270,NL,DBT,--3-----,5249N 00608E
271,NL,CDP,1-3-----,5309N 00453E
272,NL,DFM,--3-----,5258N 00547E
